game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
13,0,A,A,322,False,8,6,500.4953125,-122.32578125,0.38461538461538464,-22.95183753967285,0.5295826196670532,0.6662401572896424,65.87945964573008,0.00028812432285229086,1e-05,0.1,1.0,44,3,41,0,,,,
14,1,B,B,413,False,7,8,483.16875,-79.076171875,0.42857142857142855,-10.222908020019531,0.4064907431602478,0.7133885303095061,29.895071799870127,0.0002676255849208383,1e-05,0.1,1.0,48,2,46,0,,,,
15,2,A,A,376,False,8,7,503.5984375,-40.231197916666666,0.4666666666666667,2.3357036113739014,0.37902772426605225,0.7627217127786329,20.253566218007315,0.00024358295720121074,1e-05,0.1,1.0,39,5,34,0,,,,
16,3,B,B,331,False,5,8,490.1953125,-7.079541015624997,0.5,8.332683563232422,0.4182698130607605,0.7237575546274879,21.54036804331961,0.0002299124536616746,1e-05,0.1,1.0,41,5,36,0,,,,
17,0,A,B,261,False,5,8,-520.2296875,-37.26484375,0.47058823529411764,-30.142812728881836,0.3251056373119354,0.7543358897482072,62.921253793656895,0.0002216339860695673,1e-05,0.1,1.0,31,3,28,0,,,,
18,1,B,A,446,False,8,7,-517.25,-63.93068576388888,0.4444444444444444,-19.980464935302734,0.6456455588340759,0.5640581943485916,114.57140107785003,0.00023653638468198323,1e-05,0.1,1.0,55,7,48,0,,,,
19,2,A,A,333,False,8,7,512.7515625,-33.5789884868421,0.47368421052631576,-3.6504030227661133,0.4361662268638611,0.7735071462836671,20.433918605500196,0.0002195300929301747,1e-05,0.1,1.0,47,3,44,0,,,,
20,3,B,A,415,False,8,7,-510.32109375,-57.416093749999995,0.45,-2.7513859272003174,0.437947541475296,0.7402920497543349,20.663907464203433,0.00021271534285152363,1e-05,0.1,1.0,49,3,46,0,,,,
21,0,A,A,373,False,8,7,488.809375,-31.405357142857135,0.47619047619047616,14.882068634033203,0.50127774477005,0.6307063676827576,45.530632068197534,0.00021810933698188648,1e-05,0.1,1.0,36,4,32,0,,,,
22,1,B,A,328,False,8,6,-515.3375,-53.402272727272724,0.45454545454545453,2.061899185180664,0.5612122416496277,0.649793895180611,19.530059274769602,0.000204678098210225,1e-05,0.1,1.0,34,2,32,0,,,,
23,2,A,A,337,False,8,6,508.1078125,-28.98879076086956,0.4782608695652174,22.536283493041992,0.5871884226799011,0.6546945066603561,46.24711723758555,0.0002113851567649715,1e-05,0.1,1.0,52,5,47,0,,,,
24,3,B,A,331,False,8,6,-531.3687500000001,-49.9212890625,0.4583333333333333,1.276585340499878,0.6501317620277405,0.6023628386764732,39.784210918528565,0.000226011350743434,1e-05,0.1,1.0,34,2,32,0,,,,
25,0,A,B,192,False,4,8,-514.71171875,-68.51290625,0.44,-6.765110015869141,0.49737632274627686,0.6439313164353371,21.956785404827897,0.0002071129325708177,1e-05,0.1,1.0,25,0,25,0,,,,
26,1,B,A,312,False,8,6,-509.184375,-85.46180889423077,0.4230769230769231,-6.5384674072265625,0.374430388212204,0.7022535015986411,45.01604403664706,0.00022780705587768763,1e-05,0.1,1.0,34,4,30,0,,,,
27,2,A,B,255,False,3,8,-544.53203125,-102.46440972222223,0.4074074074074074,-1.4088006019592285,1.063332200050354,0.48348135663424696,45.80778634910475,0.00022649790243675652,1e-05,0.1,1.0,35,3,32,0,,,,
28,3,B,A,321,False,8,7,-510.4,-117.03353794642858,0.39285714285714285,9.202668190002441,0.4312320649623871,0.739591563164523,18.173326236661353,0.00021182937501994397,1e-05,0.1,1.0,38,3,35,0,,,,
29,0,A,A,329,False,8,5,523.821875,-94.93507543103448,0.41379310344827586,4.275033950805664,0.4344901144504547,0.7788495759551342,12.23423705808939,0.00019202707102616387,1e-05,0.1,1.0,39,2,37,0,,,,
